 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
334,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:15729-13739,0.000,NaN,0.000,15.277,4398.078,5035.434,4.804,4.804,0.000,1.030,0.000,0.000
335,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:00643-11212,4.616,1.400,0.231,8.451,3590.013,204.338,2.242,3.203,0.812,1.885,0.531,0.865
336,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:00934-07208,11.694,2.389,1.231,13.090,2306.333,297.219,4.484,3.843,0.858,1.476,0.678,0.887
337,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:02845-08667,28.414,1.053,0.123,19.838,2772.980,907.992,5.765,6.406,0.907,1.084,0.922,0.936
338,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:02963-03049,1.846,5.716,1.252,4.905,975.571,948.348,1.922,1.281,0.965,1.434,0.697,0.878
339,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:03646-03792,3.180,1.291,0.126,8.528,1212.898,1166.458,3.203,2.562,0.549,3.106,0.322,0.660
340,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:03978-05241,3.898,2.773,0.313,7.357,1677.304,1273.111,2.562,2.242,0.905,1.447,0.691,0.874
341,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:04509-07425,0.923,4.134,0.382,3.999,2377.435,1443.820,1.601,0.961,0.726,2.461,0.406,0.783
342,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:04693-01853,7.386,2.877,0.307,10.262,591.877,1501.470,3.523,3.203,0.881,1.162,0.860,0.883
343,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:05098-11191,3.385,6.941,0.744,6.639,3583.287,1631.824,1.922,2.242,0.965,1.111,0.900,0.904
344,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:05190-07265,0.103,4.361,0.000,1.281,2326.831,1662.251,0.320,0.320,0.785,1.000,1.000,1.000
345,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:05325-00855,7.181,1.000,1.268E-4,10.075,272.238,1703.887,3.523,3.203,0.889,1.366,0.732,0.870
346,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:05349-00858,5.744,1.019,0.051,8.903,273.198,1711.894,3.203,2.562,0.911,1.342,0.745,0.875
347,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:06058-10154,0.923,1.000,0.002,4.264,3251.478,1939.613,1.601,1.281,0.638,3.031,0.330,0.720
348,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:06061-10131,10.976,1.004,0.018,12.184,3242.830,1939.613,4.164,3.523,0.929,1.299,0.770,0.918
349,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:06101-10148,0.923,1.094,0.044,3.358,3249.876,1953.385,0.961,1.281,1.000,1.817,0.550,0.857
350,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:06205-10754,0.103,1.688,0.000,1.281,3444.286,1987.334,0.320,0.320,0.785,1.000,1.000,1.000
351,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:06306-06093,16.618,1.099,0.288,15.808,1948.901,2017.441,5.445,4.804,0.836,1.026,0.974,0.876
352,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:06318-03545,8.411,1.518,0.352,10.372,1133.789,2021.925,3.203,3.203,0.983,1.131,0.884,0.937
353,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:06384-08294,4.411,4.150,0.369,7.545,2655.117,2043.704,2.562,2.242,0.974,1.196,0.836,0.896
354,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:06400-03110,10.873,1.521,0.333,12.372,994.148,2048.187,4.164,3.523,0.893,1.249,0.801,0.910
355,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:06616-05509,1.539,1.341,0.049,4.452,1763.779,2118.329,1.601,1.281,0.976,1.474,0.678,0.882
356,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:06810-02950,6.155,1.003,1.107E-4,8.826,943.543,2179.822,2.562,2.883,0.993,1.169,0.856,0.930
357,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:07024-09931,4.206,1.228,0.150,7.732,3179.415,2248.682,2.883,1.922,0.884,1.603,0.624,0.901
358,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:07087-07190,13.438,1.021,0.075,13.465,2300.888,2267.899,4.164,4.164,0.931,1.046,0.956,0.923
359,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:07578-07944,1.231,1.600,0.073,4.264,2543.660,2426.438,1.281,1.601,0.851,1.423,0.703,0.750
360,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:07768-04242,1.231,3.981,0.316,3.811,1357.985,2487.291,1.281,1.281,1.000,1.135,0.881,0.857
361,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:08011-03155,11.079,1.004,0.020,12.372,1008.560,2564.158,4.164,3.523,0.910,1.125,0.889,0.915
362,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:08650-03479,7.899,1.437,0.408,10.185,1112.651,2768.816,3.203,3.203,0.957,1.116,0.896,0.911
363,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:08713-09842,3.385,2.215,0.108,7.092,3150.910,2789.634,2.562,1.922,0.846,1.633,0.613,0.846
364,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:08783-04319,11.284,1.004,0.014,15.995,1380.725,2810.453,5.124,5.124,0.554,2.771,0.361,0.751
365,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:08829-08011,4.513,4.053,1.071,7.998,2564.478,2826.467,2.562,2.562,0.887,1.035,0.967,0.854
366,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:08898-04744,1.231,1.916,0.113,4.076,1518.765,2849.206,1.281,1.601,0.931,1.881,0.532,0.800
367,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:09033-06138,0.410,6.701,1.351,2.905,1965.555,2892.444,0.641,1.281,0.611,3.093,0.323,0.667
368,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:09035-06128,0.308,5.973,1.185,2.265,1962.353,2893.405,0.641,0.961,0.754,2.702,0.370,0.667
369,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:09036-06135,0.205,3.853,0.536,1.812,1964.594,2893.725,0.641,0.641,0.785,2.646,0.378,0.667
370,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:09137-08588,0.513,4.196,0.577,2.452,2750.240,2926.074,0.961,0.641,1.000,1.553,0.644,0.909
371,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:09253-01716,7.488,1.036,0.056,9.997,547.998,2962.265,3.523,2.883,0.942,1.191,0.839,0.901
372,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:09260-13242,0.103,1.675,0.000,1.281,4241.141,2965.788,0.320,0.320,0.785,1.000,1.000,1.000
373,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:09336-10568,2.359,2.427,0.171,5.358,3384.073,2989.169,1.601,1.922,1.000,1.241,0.806,0.885
374,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:09544-02272,7.488,1.228,0.232,10.185,726.074,3055.466,3.523,2.883,0.907,1.381,0.724,0.896
375,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:09553-02293,1.949,1.116,0.090,5.545,733.440,3058.990,2.242,1.281,0.796,1.786,0.560,0.844
376,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:09737-00641,7.283,2.249,1.084,10.560,203.698,3116.960,3.203,3.203,0.821,1.197,0.835,0.861
377,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:09844-06014,1.846,1.039,0.081,4.905,1925.520,3151.871,1.281,1.922,0.965,1.516,0.659,0.878
378,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:10081-04484,12.617,1.063,0.161,13.355,1433.891,3226.816,4.804,3.843,0.889,1.254,0.797,0.901
379,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:10144-06604,3.385,3.945,0.335,6.451,2114.165,3247.954,1.922,2.242,1.000,1.246,0.803,0.904
380,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:10428-02066,26.363,1.001,0.012,20.104,658.495,3336.992,6.406,6.085,0.820,1.519,0.658,0.916
381,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:10668-02777,31.184,1.260,0.313,20.932,886.213,3413.539,6.406,6.406,0.894,1.286,0.777,0.935
382,Result of 0h_nonlightexposed_B4 Region1_Merged_RAW_ch01.tif:10675-09211,16.002,1.877,0.916,15.464,2947.532,3416.742,5.124,4.484,0.841,1.335,0.749,0.894
