 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
206,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:02817-09240,20.208,1.006,0.017,16.746,2957.141,899.345,4.484,5.765,0.906,1.362,0.734,0.936
207,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:02831-08085,7.693,3.732,0.285,10.107,2588.179,905.110,2.883,3.203,0.946,1.154,0.867,0.926
208,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:02852-07828,11.489,1.564,0.077,12.559,2505.226,911.515,3.843,3.843,0.915,1.330,0.752,0.926
209,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:03078-08689,23.491,1.137,0.129,18.027,2780.026,983.258,5.765,5.124,0.908,1.155,0.866,0.935
210,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:03139-07515,4.719,1.107,0.074,8.981,2405.299,1004.076,3.203,2.883,0.735,1.323,0.756,0.780
211,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:03272-08047,76.934,1.574,0.570,32.585,2572.165,1043.150,10.249,9.608,0.911,1.070,0.935,0.954
212,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:03846-07634,30.569,1.049,0.057,20.479,2441.811,1228.912,6.406,6.085,0.916,1.083,0.923,0.939
213,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:03868-06152,8.411,5.420,1.557,10.825,1968.758,1237.240,3.203,3.523,0.902,1.135,0.881,0.911
214,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:03974-07948,39.390,1.453,0.454,23.384,2542.058,1269.268,7.046,7.366,0.905,1.022,0.978,0.941
215,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:04213-12333,61.240,1.356,0.308,29.305,3945.523,1345.174,9.288,8.648,0.896,1.098,0.910,0.948
216,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:04241-08404,28.722,1.003,0.006,19.838,2688.426,1355.423,6.406,5.765,0.917,1.091,0.917,0.940
217,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:04264-09848,3.077,1.381,0.044,6.451,3153.152,1364.711,2.242,1.922,0.929,1.188,0.842,0.857
218,Result of Before_GA_light_exposed_B3 Region1_Merged_RAW_ch01.tif:04300-07090,6.975,2.049,0.174,10.715,2268.860,1375.600,3.843,3.203,0.763,1.819,0.550,0.814
