 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
94,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:10648-03988,21.131,2.494,0.209,17.542,1274.392,3407.774,5.765,5.445,0.863,1.109,0.902,0.892
95,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:10690-05610,19.490,1.958,0.389,16.293,1794.206,3421.546,5.124,4.804,0.923,1.164,0.859,0.934
96,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:10735-08143,27.696,1.545,0.215,19.386,2605.153,3435.318,6.085,5.765,0.926,1.036,0.965,0.939
97,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:10797-12719,6.155,7.625,0.814,9.279,4072.354,3456.777,2.883,2.883,0.898,1.042,0.960,0.896
98,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:11080-05076,81.037,1.792,0.333,33.866,1620.614,3543.893,10.569,9.929,0.888,1.059,0.944,0.954
99,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:11219-09348,8.822,4.621,0.336,11.013,2992.371,3591.614,3.203,3.523,0.914,1.171,0.854,0.915
100,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:11334-02784,6.360,4.408,0.278,9.013,890.377,3628.767,2.562,2.883,0.984,1.133,0.882,0.939
101,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:11344-15201,12.515,1.932,0.429,13.090,4866.327,3631.329,4.484,3.843,0.918,1.312,0.762,0.914
102,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:11423-13294,9.335,4.917,1.211,11.278,4256.194,3656.951,3.523,3.523,0.922,1.068,0.936,0.910
103,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:11428-03247,28.927,5.375,0.648,20.479,1037.065,3657.272,6.085,6.085,0.867,1.027,0.974,0.920
104,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:11482-16460,4.719,2.722,0.659,8.451,5270.840,3675.848,2.242,3.203,0.830,1.353,0.739,0.852
105,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:11569-14740,10.771,3.369,1.634,12.262,4718.998,3703.392,4.164,3.843,0.900,1.141,0.876,0.894
106,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:11651-12032,8.822,5.941,0.522,11.168,3852.002,3729.655,3.523,3.843,0.889,1.098,0.911,0.882
107,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:11724-12301,7.693,2.695,0.290,10.185,3938.477,3753.356,2.883,3.523,0.932,1.386,0.721,0.915
108,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:11768-16709,8.206,2.822,0.466,11.090,5349.629,3767.448,3.843,3.203,0.838,1.393,0.718,0.870
109,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:11829-12903,18.977,1.582,0.335,16.105,4130.004,3786.344,5.445,4.484,0.919,1.144,0.874,0.930
110,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:11883-09055,52.623,2.244,0.392,27.195,2895.967,3801.718,8.648,8.327,0.894,1.131,0.884,0.944
111,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:11978-06839,117.043,1.302,0.495,40.240,2184.627,3830.223,11.850,12.491,0.908,1.056,0.947,0.963
112,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:12131-09573,8.514,5.921,0.771,10.560,3064.434,3883.709,3.203,3.203,0.959,1.089,0.919,0.938
113,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:12227-14153,21.747,2.402,1.172,17.995,4530.354,3913.175,5.445,6.085,0.844,1.297,0.771,0.908
114,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:12614-17266,7.181,2.633,0.133,10.262,5528.345,4038.404,3.523,3.203,0.857,1.031,0.970,0.859
115,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:12647-10299,42.673,2.796,0.587,24.478,3295.036,4046.732,7.046,8.007,0.895,1.113,0.899,0.936
116,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:12653-10656,40.211,1.836,0.853,23.760,3409.696,4048.653,6.726,7.687,0.895,1.141,0.877,0.942
117,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:12823-15002,0.103,3.876,0.000,1.281,4804.833,4106.944,0.320,0.320,0.785,1.000,1.000,1.000
118,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:12835-06514,10.668,2.467,0.318,12.029,2084.699,4109.186,3.523,3.523,0.927,1.063,0.941,0.937
119,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:12921-07567,18.156,4.427,0.624,15.542,2421.313,4135.769,4.804,5.124,0.945,1.075,0.930,0.929
120,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:13095-05575,2.154,5.056,0.267,5.358,1784.597,4193.420,1.922,1.601,0.943,1.323,0.756,0.894
121,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:13136-08518,19.695,1.776,0.355,16.105,2725.579,4204.950,5.124,4.804,0.954,1.115,0.897,0.946
122,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:14085-05678,10.155,2.979,0.412,11.731,1816.946,4509.215,3.523,3.843,0.927,1.182,0.846,0.921
123,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:14584-16902,10.360,1.260,0.256,12.106,5411.763,4669.035,3.523,3.843,0.888,1.122,0.891,0.906
124,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:14821-16648,6.155,4.464,0.345,9.091,5330.732,4745.581,2.883,2.883,0.936,1.053,0.950,0.889
125,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:15070-15363,7.796,3.484,0.364,10.825,4918.853,4825.011,3.203,3.523,0.836,1.236,0.809,0.879
126,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:15081-14819,13.848,2.849,0.245,19.541,4743.339,4827.253,5.765,6.085,0.456,2.054,0.487,0.638
127,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:15157-14006,3.283,2.231,0.328,7.092,4484.554,4853.516,2.562,1.922,0.820,1.325,0.755,0.853
128,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:15752-15075,23.491,2.276,0.264,18.402,4825.651,5042.481,5.445,5.445,0.872,1.086,0.921,0.929
129,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:16311-16614,65.445,1.199,0.181,30.476,5316.640,5219.275,9.288,9.608,0.885,1.021,0.979,0.943
130,Result of unexposed_24h_8well_A1 Region1_Merged_RAW_ch01.tif:18431-17700,78.678,2.828,2.395,39.645,5663.502,5896.986,11.210,12.171,0.629,1.315,0.760,0.856
131,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:01272-03777,1.128,1.007,0.032,3.546,1209.375,406.755,0.961,1.281,1.000,1.372,0.729,0.957
132,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:03583-08199,5.437,1.192,0.187,8.373,2624.691,1146.280,2.562,2.562,0.975,1.033,0.968,0.922
133,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:04769-04467,0.615,2.415,0.269,3.093,1430.048,1527.093,1.281,0.641,0.809,2.082,0.480,0.857
134,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:04985-04532,7.693,1.148,0.091,10.560,1449.585,1595.312,3.843,2.562,0.867,1.534,0.652,0.904
135,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:05043-18087,34.364,1.025,0.060,21.838,5789.693,1611.967,6.726,6.726,0.906,1.174,0.852,0.932
136,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:05111-07622,0.103,4.427,0.000,1.281,2441.170,1636.949,0.320,0.320,0.785,1.000,1.000,1.000
137,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:05335-07382,38.570,1.585,0.539,23.650,2360.780,1704.848,7.046,7.687,0.867,1.405,0.712,0.933
138,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:06061-02807,14.874,2.345,0.991,14.183,896.783,1938.972,4.484,4.484,0.929,1.020,0.980,0.918
139,Result of unexposed_24h_8well_A2 Region1_Merged_RAW_ch01.tif:06483-07221,2.975,4.761,0.473,6.639,2312.098,2075.091,1.601,2.562,0.848,1.732,0.577,0.892
