 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
241,Result of 0h_nonlightexposed_A4 Region1_Merged_RAW_ch01.tif:08349-06447,36.313,1.096,0.139,22.931,2061.639,2670.491,6.726,7.046,0.868,1.068,0.936,0.924
242,Result of 0h_nonlightexposed_A4 Region1_Merged_RAW_ch01.tif:08451-03031,8.104,3.601,0.471,10.450,969.166,2705.081,3.203,3.523,0.933,1.063,0.940,0.898
243,Result of 0h_nonlightexposed_A4 Region1_Merged_RAW_ch01.tif:08541-11026,37.852,1.488,0.396,23.197,3527.879,2731.984,7.046,7.366,0.884,1.098,0.911,0.925
244,Result of 0h_nonlightexposed_A4 Region1_Merged_RAW_ch01.tif:10215-07963,32.518,3.844,0.505,20.932,2547.183,3268.452,6.406,6.406,0.933,1.009,0.992,0.945
245,Result of 0h_nonlightexposed_A4 Region1_Merged_RAW_ch01.tif:10427-09691,107.400,1.770,0.693,40.240,3097.743,3333.789,12.171,11.850,0.833,1.187,0.843,0.946
246,Result of 0h_nonlightexposed_A4 Region1_Merged_RAW_ch01.tif:10733-09146,7.283,6.355,0.494,9.919,2927.675,3436.279,3.203,2.883,0.930,1.032,0.969,0.916
247,Result of 0h_nonlightexposed_A4 Region1_Merged_RAW_ch01.tif:10900-08564,4.513,1.524,0.227,8.075,2741.593,3489.765,2.562,2.883,0.870,1.298,0.771,0.846
248,Result of 0h_nonlightexposed_A4 Region1_Merged_RAW_ch01.tif:11797-07853,27.183,1.284,0.231,19.838,2512.593,3775.135,5.445,6.726,0.868,1.317,0.760,0.927
249,Result of 0h_nonlightexposed_A4 Region1_Merged_RAW_ch01.tif:11849-07029,2.462,1.192,0.091,5.811,2250.604,3794.031,1.601,2.242,0.916,1.572,0.636,0.842
250,Result of 0h_nonlightexposed_A4 Region1_Merged_RAW_ch01.tif:11968-04648,4.616,1.180,0.079,8.185,1487.378,3831.824,2.562,2.562,0.866,1.233,0.811,0.849
251,Result of 0h_nonlightexposed_A4 Region1_Merged_RAW_ch01.tif:12366-07033,24.311,1.042,0.121,18.745,2249.964,3957.694,5.445,6.085,0.869,1.217,0.822,0.919
252,Result of 0h_nonlightexposed_A4 Region1_Merged_RAW_ch01.tif:12588-07123,31.184,1.198,0.213,21.838,2278.468,4027.835,5.765,7.687,0.822,1.590,0.629,0.918
