 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
2659,t:1/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:16871-06832,8.719,1.166,0.223,12.074,2186.228,5401.514,3.843,4.164,0.752,1.561,0.641,0.829
2660,t:1/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:16896-08131,67.292,1.343,0.496,31.492,2599.709,5406.638,9.288,9.608,0.853,1.15,0.87,0.93
2661,t:1/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:17690-12681,25.029,1.856,0.958,19.276,4058.582,5662.542,5.765,6.406,0.847,1.361,0.735,0.91
2662,t:1/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:18534-08639,31.799,2.128,0.593,21.385,2763.692,5932.858,6.726,6.406,0.874,1.085,0.921,0.92
2663,t:1/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:18636-07360,19.285,1.114,0.144,17.354,2355.015,5965.526,4.804,6.406,0.805,1.484,0.674,0.881
2664,t:1/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:18953-07962,31.287,1.036,0.089,21.307,2547.183,6067.055,6.085,6.726,0.866,1.111,0.9,0.931
2665,t:1/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:19477-06839,17.438,2.555,0.627,15.542,2188.15,6235.522,4.804,5.124,0.907,1.211,0.826,0.921
2666,t:1/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:10228-09308,26866153.39,1.271,0.238,25029.203,0,0,5962.644,6551.958,0.539,1.099,0.626,0.688
2667,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:00698-09046,23.696,1.567,0.678,19.088,2894.366,220.993,6.085,5.445,0.817,1.19,0.84,0.901
2668,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:00881-12161,2.872,1.722,0.201,10.34,3893.638,281.205,2.883,2.242,0.338,1.738,0.575,0.609
2669,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:00884-12161,0.103,1.789,0,1.281,3894.919,283.127,0.32,0.32,0.785,1,1,1
2670,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:01156-06311,24.414,1.208,0.186,18.855,2018.401,367.681,6.085,5.124,0.863,1.173,0.853,0.926
2671,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02064-08295,0.103,1.934,0,1.281,2656.718,661.057,0.32,0.32,0.785,1,1,1
2672,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02051-07459,74.267,1.089,0.159,35.568,2382.88,652.089,12.171,9.608,0.738,1.917,0.522,0.939
2673,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02065-08296,0.103,1.939,0,1.281,2657.039,661.377,0.32,0.32,0.785,1,1,1
2674,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02058-11204,19.08,1.034,0.054,17.464,3586.17,656.573,4.484,5.445,0.786,1.232,0.812,0.914
2675,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02065-08284,43.186,1.299,0.255,25.274,2649.352,657.534,7.687,8.007,0.85,1.247,0.802,0.925
2676,t:2/7 - 0h_to_24h_timecourse_B3 Region1_Merged_RAW_ch01.tif:02158-09317,39.493,1.136,0.125,24.368,2980.201,687.64,7.687,7.366,0.836,1.136,0.88,0.919
